dig,iap,iau,ndn,tts,tec,rdf,fin,agdp,tin,url,gov,net,tra,edu,icl
274.73,2113.15,810.67,28.1,1131.53,34582,605680.1,2.8000039,3.819946,1.78433,63.46,0.28583967,101.6,0.13618229,0.084166366,22725.8
292.87,2181.08,848.28,56.03,1732.4,37313,714862.2,3.6271256,4.115597,1.84641,64.62,0.36815381,104.74,0.13807107,0.084311797,24253.6
306.08,2127.48,886.33,53.61,2092.5,43252,774634.2,3.9563821,4.2432,1.95324,65.61,0.39781071,120.7,0.11193926,0.084079775,24902
150.77,1491.5,541.02,84.35,447.1,82682,3715074.5,5.1798261,8.9613,1.59065,89.3,0.20731731,128.2,1.2935356,0.056305627,38550
222.14,1374.6,511.1,78.3,791.8,86450,4047800.2,5.2073343,9.5746,1.78435,89.6,0.20756159,132.52,1.1777498,0.056617198,42173.6
239.53,1404.49,532.15,102.31,595.5,81664,4492192,5.1680192,10.2827,1.91173,89.3,0.2089063,135.74,1.1337648,0.05622882,45965.8
278.11,1464.79,568.76,204.8,778.76,100006,4742443.3,6.2550247,10.9186,2.1826,88.53,0.24644545,129.69,1.0406706,0.055705126,49867.2
282.22,1595.66,635.71,263.21,509.97,119937,4900778,6.0504424,12.1369,2.47397,89,0.24553838,130.44,0.96403736,0.055161127,54305.3
336.65,1810.2,681.33,240.56,693.79,131740,5399952.8,5.8643965,13.3489,2.44473,89.1,0.24638862,136.4,0.9765177,0.054968856,58988
377.73,1871.82,772.92,147.45,1436.34,150233,5548768.1,5.9481479,14.5767,2.46567,89.13,0.2555561,153.57,0.94759463,0.056199354,64182.7
410.28,2028.61,890.15,138.88,2240.4,173586,5906504,5.5736212,15.3299,2.71611,89.22,0.21436801,165.06,0.89692527,0.057909956,69441.6
431.93,2322.04,918.96,140.69,2824.19,210293,6350087,6.2145832,15.6803,2.78762,89.3,0.2093536,171.99,0.89797761,0.060100353,72232.4
122.03,2892.37,1350.72,52.24,914.6,472656,10803107,2.5113997,6.653276,0.858531,63.01,0.13000188,94.6,0.64411257,0.091212106,22432
180.98,3063.2,1431.35,64.86,1402.8,504500,12395745,2.5640445,7.276779,0.917772,64.39,0.13051097,100.03,0.57477053,0.089368433,24775.5
204.16,3503.32,1523.35,83.64,1321.3,421907,13765378,2.603063,7.871124,0.971835,65.7,0.13016852,101.39,0.53397611,0.091788999,27172.8
244.01,4697.26,2346.32,130.3,1800.47,428337,15065065,2.7454298,8.587121,1.01678,67.49,0.13816429,100.21,0.4768684,0.094305304,29538.8
253.75,5676.85,2685.24,173.24,1206.6,512429,16575418,2.823863,9.265794,1.09212,68.93,0.12898542,102.5,0.43734456,0.096921596,32070.1
297.69,6531.73,3106.15,161.61,2066.5,514402,18338832,2.7807577,10.220157,1.09141,70.18,0.12368766,109.69,0.46451905,0.100111279,35024.1
334.02,7131.47,3351.87,188.35,4814.66,600306,20245195,2.8298954,11.05075,1.1141,71.19,0.1258961,121.65,0.47135456,0.104697892,38095.8
361.93,7248.96,3585.74,242.54,7545.4,594249,22061581,2.9336037,11.66501,1.16881,72.47,0.12620052,125.97,0.44018412,0.108645968,41399.7
381.61,7224.86,3756.83,206.74,9188.72,719452,23816885,3.2569963,12.1333,1.20182,73.44,0.13319396,116.78,0.43166278,0.112137967,43390.3
